Stone_ID,X_px,Y_px,Radius_px,Diameter_cm
1,16,597,23,1.2432432432432432
2,288,594,45,2.4324324324324325
3,454,492,20,1.0810810810810811
4,379,553,96,5.1891891891891895
5,26,482,22,1.1891891891891893
6,422,414,18,0.972972972972973
7,282,453,74,4.0
8,471,408,32,1.7297297297297298
9,369,402,86,4.648648648648648
10,322,330,20,1.0810810810810811
11,118,327,21,1.135135135135135
12,378,288,43,2.324324324324324
13,441,263,19,1.027027027027027
14,403,236,18,0.972972972972973
15,217,195,13,0.7027027027027027
16,80,184,18,0.972972972972973
17,138,391,260,14.054054054054054
18,451,131,22,1.1891891891891893
19,383,164,74,4.0
20,18,180,112,6.054054054054054
21,580,84,21,1.135135135135135
22,19,54,20,1.0810810810810811
23,565,51,24,1.2972972972972974
24,455,317,337,18.216216216216218
25,181,10,18,0.972972972972973
